gene_name,B6-1-Tfh,B6-1-Tn,B6-2-Tfh,B6-2-Tn,B6-3-Tfh,B6-3-Tn,B6-4-Tfh,B6-4-Tn
0610005C13Rik,0,1,0,1,0,1,0,2
0610007P14Rik,716,725,880,619,698,576,759,606
0610009B22Rik,78,85,129,68,88,66,71,65
0610009E02Rik,2,6,3,5,0,1,1,4
0610009L18Rik,35,31,34,26,22,24,22,25
0610009O20Rik,720,745,780,691,721,696,785,711
0610010F05Rik,133,150,112,111,129,116,108,113
0610010K14Rik,62,54,58,47,58,63,54,62
0610011F06Rik,636,524,724,422,612,377,620,404
0610030E20Rik,1866,2136,1817,1944,1832,1955,1932,2146
0610031O16Rik,0,3,0,1,0,1,1,1
0610037L13Rik,649,646,735,671,702,679,712,757
0610038B21Rik,46,43,29,24,36,31,30,29
0610039K10Rik,0,0,0,0,2,2,0,0
0610040B10Rik,33,25,19,11,17,12,12,11
0610040F04Rik,4,0,5,0,2,0,3,0
0610040J01Rik,0,0,0,0,0,0,0,0
0610043K17Rik,12,11,6,12,5,12,6,13
1010001B22Rik,3,0,4,1,3,1,1,4
1110001J03Rik,109,174,157,156,109,178,94,179
1110002E22Rik,4,0,1,0,1,0,1,0
1110002J07Rik,46,0,29,0,52,1,31,0
1110002L01Rik,353,431,412,348,332,298,371,377
1110002O04Rik,0,0,0,0,0,0,0,0
1110004E09Rik,244,311,288,291,181,265,209,298
1110004F10Rik,1411,1426,1410,1208,1301,1194,1251,1133
1110007C09Rik,313,447,344,312,329,380,307,363
1110008F13Rik,920,978,1062,922,963,910,935,940
1110008L16Rik,191,207,162,157,137,149,158,148
1110008P14Rik,399,392,517,315,426,364,423,346
1110012L19Rik,256,209,302,206,268,256,240,197
1110017D15Rik,0,1,0,0,0,1,2,0
1110019D14Rik,33,18,27,19,28,18,41,16
1110020A21Rik,11,26,8,27,8,28,12,22
1110025M09Rik,11,15,23,13,17,19,18,22
1110028F11Rik,15,0,6,0,10,1,14,0
1110032A03Rik,208,123,187,79,195,66,162,80
1110032F04Rik,146,302,135,217,139,218,109,156
1110034G24Rik,437,392,556,357,550,409,537,351
1110035H17Rik,7,11,8,14,4,13,4,14
1110036E04Rik,0,0,1,0,0,0,2,0
1110037F02Rik,4479,3541,4001,2928,4146,2766,4137,3086
1110038B12Rik,249,294,268,316,206,315,237,283
1110038F14Rik,571,533,682,460,521,491,591,528
1110046J04Rik,5,0,4,0,8,0,8,0
1110051M20Rik,438,126,375,64,368,76,346,74
1110059E24Rik,268,308,319,257,262,266,272,237
1110059G10Rik,327,296,343,258,282,234,316,238
1110065P20Rik,140,126,156,101,140,107,136,111
1190002F15Rik,103,27,116,38,128,28,117,28
1190002N15Rik,925,412,936,401,897,392,894,393
1190005I06Rik,5,0,0,0,3,1,1,0
1190007I07Rik,131,154,129,146,127,131,118,131
1200007C13Rik,1,0,1,0,3,0,3,0
1200014J11Rik,1400,1877,1354,1444,1317,1548,1332,1574
1300002E11Rik,549,566,466,475,440,490,501,551
1300017J02Rik,2,2,0,0,1,0,0,2
1500002C15Rik,65,18,58,22,46,10,55,13
1500002F19Rik,3,1,0,2,0,1,1,0
1500004A13Rik,471,25,362,19,390,31,372,23
1500009L16Rik,2,0,1,0,2,0,2,2
1500011B03Rik,284,363,328,274,312,321,305,326
1500011K16Rik,148,186,204,172,162,168,167,140
1500012F01Rik,451,843,467,909,421,944,411,822
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,43,106,69,89,37,92,70,88
1500015O10Rik,0,0,1,0,0,0,0,0
1500017E21Rik,0,0,0,1,0,0,0,0
1500026H17Rik,3,5,0,1,0,6,0,8
1500035N22Rik,0,0,0,0,0,0,1,0
1520401A03Rik,2,0,0,0,0,0,0,1
1600002D24Rik,0,0,0,0,0,0,0,0
1600002H07Rik,189,123,176,121,143,99,146,117
1600002K03Rik,116,170,162,160,126,156,118,152
1600010M07Rik,0,0,0,0,0,0,0,0
1600012H06Rik,691,637,770,652,678,649,749,699
1600012P17Rik,1,0,0,0,0,0,0,0
1600014C10Rik,1114,1881,1461,1611,1235,1600,1268,1632
1600017P15Rik,0,0,0,0,0,0,0,0
1600020E01Rik,267,360,284,386,297,424,306,459
1600029O15Rik,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,1,0,0,1,2,0
1700001D01Rik,1,0,0,0,0,0,0,0
1700001G11Rik,8,7,20,5,13,1,9,3
1700001G17Rik,6,11,5,7,5,4,3,5
1700001J03Rik,6,5,6,4,5,1,5,2
1700001J11Rik,2,0,1,0,0,0,0,1
1700001L05Rik,14,11,11,7,15,6,12,7
1700001L19Rik,0,0,0,0,0,0,0,1
1700001O22Rik,74,4,58,6,47,6,46,7
1700001P01Rik,2,1,2,1,0,2,0,3
1700003E16Rik,0,0,1,0,0,0,0,0
1700003F12Rik,1,0,0,1,3,1,1,0
1700003G18Rik,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,1,0,0,0
1700003N22Rik,0,1,0,0,0,0,2,0
1700006F04Rik,0,0,1,0,1,0,1,0
1700006J14Rik,2,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0
1700007E05Rik,0,0,1,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0
1700007J10Rik,0,0,1,0,0,0,0,0
1700007K09Rik,0,1,0,0,0,1,0,0
1700007K13Rik,0,0,0,0,0,0,0,0
1700007L15Rik,41,46,29,34,26,35,31,26
1700008F21Rik,0,0,1,0,0,0,0,0
1700008J07Rik,44,55,52,43,41,40,45,39
1700008O03Rik,5,3,7,0,5,3,3,1
1700009C05Rik,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0,0
1700010I14Rik,111,79,116,88,76,62,92,68
1700010K24Rik,0,2,1,0,1,1,1,0
1700011A15Rik,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0
1700011I03Rik,2,0,0,1,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0,0
1700012B07Rik,1,0,1,0,4,0,1,0
1700012B09Rik,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,1,1,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,1
1700012L04Rik,0,0,4,0,1,0,2,1
1700013F07Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0
1700014D04Rik,0,0,0,1,1,0,0,0
1700015F17Rik,1,0,1,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,0,0,0
1700016A09Rik,1,1,2,1,2,2,0,2
1700016C15Rik,2,0,0,0,0,0,1,0
1700016D06Rik,0,0,0,0,0,0,0,0
1700016G14Rik,2,2,0,7,0,3,2,6
1700016G22Rik,0,0,0,0,0,0,0,0
1700016K19Rik,4,9,6,8,6,8,14,6
1700016L21Rik,2,12,0,4,0,5,0,2
1700016P03Rik,7,1,4,1,4,0,2,0
1700017B05Rik,2541,1644,2000,1308,1909,1401,1699,1452
1700017G19Rik,0,0,0,0,0,0,0,0
1700018A14Rik,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,1,0,1,0,0,0
1700018L02Rik,2,5,3,2,3,4,2,1
1700018M17Rik,0,4,1,1,1,0,0,0
1700019A02Rik,2,0,1,2,2,0,2,2
1700019B03Rik,4,2,2,6,3,0,1,4
1700019D03Rik,693,0,570,2,742,2,559,2
1700019G17Rik,156,189,176,151,172,187,149,162
1700019L03Rik,28,0,27,0,18,0,11,1
1700019N19Rik,0,0,0,0,0,0,1,1
1700019O17Rik,0,0,0,0,0,0,0,0
1700020D05Rik,30,14,26,13,22,13,41,17
1700020I14Rik,5385,4607,4546,3866,5083,3801,4918,4202
1700020L24Rik,29,12,24,18,22,13,17,20
1700020M21Rik,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,1,0
1700020N18Rik,24,1,15,4,17,1,10,3
1700021A07Rik,38,43,63,50,39,41,41,39
1700021F05Rik,162,143,168,130,145,141,152,151
1700021J08Rik,0,0,0,0,0,0,0,0
1700021K19Rik,877,660,838,617,890,594,904,620
1700021N21Rik,0,1,0,0,0,0,0,1
1700022I11Rik,0,0,0,0,1,0,1,0
1700022N22Rik,8,18,5,9,1,9,4,14
1700023F06Rik,0,0,0,0,0,0,2,0
1700023H06Rik,1,0,6,1,3,3,2,1
1700024P04Rik,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,1,0
1700025F24Rik,0,0,0,0,1,0,0,0
1700025G04Rik,21,629,38,542,24,619,39,671
1700025N21Rik,0,0,0,0,0,0,0,0
1700025N23Rik,1,0,0,0,0,0,1,0
1700026D08Rik,0,0,0,0,0,0,0,0
1700026D11Rik,4,3,2,4,1,2,4,5
1700026L06Rik,0,0,1,0,0,1,0,0
1700027A07Rik,0,0,0,0,0,0,0,0
1700027F09Rik,6,0,12,0,10,0,7,0
1700028B04Rik,0,0,0,0,0,0,0,0
1700028E10Rik,190,109,138,49,133,51,101,46
1700028I16Rik,0,0,0,0,0,0,1,0
1700028J19Rik,5,16,12,8,15,7,7,15
1700028K03Rik,0,2,2,0,0,0,0,0
1700028N14Rik,0,2,1,0,3,3,2,2
1700029H14Rik,0,4,0,3,0,1,1,1
1700029I15Rik,61,9,57,14,58,16,52,20
1700029J03Rik,3,0,2,0,4,2,18,3
1700029J07Rik,85,27,58,26,70,31,62,47
1700029M03Rik,0,0,0,0,0,0,0,0
1700029M20Rik,1,0,2,0,8,0,4,0
1700029N11Rik,0,0,0,0,0,0,0,0
1700030C10Rik,10,15,13,4,13,11,7,3
1700030C12Rik,2,2,1,2,0,4,0,0
1700030C14Rik,0,0,0,0,2,0,1,0
1700030J22Rik,15,6,7,3,13,4,12,3
1700030K09Rik,148,122,151,117,107,88,124,105
1700030O20Rik,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,2
1700031M16Rik,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0
1700034H15Rik,17,11,18,14,15,11,13,15
1700034I23Rik,0,0,0,0,0,0,1,0
1700034O15Rik,0,2,0,0,0,0,1,0
1700034P13Rik,1,0,1,0,1,0,1,0
1700037C18Rik,80,85,101,71,73,64,84,76
1700037F24Rik,1,0,0,0,0,0,0,0
1700037H04Rik,419,342,375,267,381,264,373,312
1700039E15Rik,0,0,1,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0,0
1700040D17Rik,1,5,4,6,3,1,5,5
1700040L02Rik,30,27,36,18,25,16,26,12
1700041G16Rik,13,4,13,5,11,10,14,6
1700042O10Rik,3,5,2,3,3,1,2,6
1700047K16Rik,1,0,2,1,0,4,0,1
1700047M11Rik,0,0,0,0,0,0,0,0
1700048O20Rik,24,3,21,1,20,3,18,4
1700049G17Rik,228,169,175,138,201,110,171,129
1700049J03Rik,0,0,1,0,0,0,0,0
1700051O22Rik,1,0,1,1,0,1,0,0
1700052I22Rik,0,0,0,0,0,0,0,0
1700052K11Rik,144,104,131,99,119,89,131,98
1700055D18Rik,8,4,8,10,5,10,6,7
1700056E22Rik,18,56,9,45,13,43,13,32
1700056N10Rik,17,13,7,21,17,22,14,8
1700057G04Rik,0,0,0,0,0,0,1,0
1700057H21Rik,0,0,0,0,1,0,0,0
1700058P15Rik,0,0,0,0,0,0,0,0
1700061F12Rik,2,0,0,0,0,0,2,0
1700061G19Rik,0,5,1,1,1,1,0,4
1700063D05Rik,8,0,17,0,24,0,12,0
1700063H04Rik,0,0,0,0,0,0,0,0
1700064H15Rik,1,0,0,0,0,0,1,0
1700064M15Rik,1,0,0,0,0,0,0,0
1700065D16Rik,2,1,2,1,0,2,1,2
1700066B17Rik,1,0,0,0,2,0,0,0
1700066B19Rik,20,33,21,28,24,23,23,26
1700066J03Rik,0,0,0,0,0,0,0,0
1700066M21Rik,327,219,344,206,343,193,358,211
1700066O22Rik,0,0,0,0,0,0,0,0
1700067K01Rik,10,4,5,4,8,7,5,10
1700069B07Rik,0,0,0,0,0,1,0,0
1700071K01Rik,0,0,0,0,0,0,0,0
1700072G22Rik,0,1,0,0,0,0,0,2
1700073E17Rik,1,0,0,0,0,1,0,1
1700074A21Rik,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0
1700082M22Rik,0,0,0,1,0,0,1,0
1700084C06Rik,3,10,2,4,5,4,5,4
1700084E18Rik,6,17,11,23,7,11,8,12
1700084J12Rik,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0
1700086O06Rik,17,13,15,10,8,6,4,6
1700086P04Rik,1,0,2,0,2,0,0,1
1700088E04Rik,2,1,0,1,3,0,3,0
1700092C02Rik,0,0,0,0,0,1,0,0
1700092C10Rik,0,0,1,0,0,0,0,0
1700092M07Rik,3,1,3,6,4,4,2,2
1700093J21Rik,1,1,0,1,0,1,2,2
1700093K21Rik,0,1,0,0,0,0,0,0
1700094J05Rik,0,0,0,0,0,0,0,0
1700096K18Rik,45,64,47,35,27,53,28,40
1700097N02Rik,26,87,40,69,15,91,41,74
1700099I09Rik,0,0,0,0,0,0,0,0
1700101E01Rik,12,4,12,5,9,6,10,8
1700101I11Rik,0,0,1,0,1,0,0,0
1700102P08Rik,19,28,24,34,27,41,32,56
1700104B16Rik,0,0,0,2,0,0,0,0
1700105P06Rik,0,1,1,0,1,1,2,1
1700106J16Rik,0,0,0,0,1,0,0,0
1700108F19Rik,0,0,1,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0
1700109H08Rik,83,69,41,49,49,66,47,64
1700110C19Rik,3,1,3,2,3,1,3,2
1700110I01Rik,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0,0
1700110K17Rik,0,0,2,0,0,0,1,0
1700111N16Rik,0,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,0,0,0,2,1
1700112E06Rik,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,1,0
1700112J16Rik,0,0,0,0,1,1,0,0
1700113A16Rik,40,67,59,70,32,44,44,41
1700113H08Rik,0,0,0,0,0,0,1,0
1700120B22Rik,3,1,0,1,0,0,0,0
1700120C14Rik,6,17,13,12,5,13,13,12
1700120K04Rik,0,1,0,0,0,0,0,1
1700122E12Rik,1,2,2,1,0,2,1,2
1700122O11Rik,0,0,0,0,0,0,0,0
1700123M08Rik,20,18,8,14,15,13,18,12
1700123O12Rik,0,0,0,0,0,0,0,0
1700123O20Rik,756,898,814,849,736,900,746,855
1700124L16Rik,8,2,7,1,0,1,5,2
1700125G22Rik,0,0,1,0,0,0,0,0
1700125H03Rik,0,1,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0,0,0
1810006J02Rik,151,71,191,96,137,81,124,91
1810008B01Rik,1,1,1,0,1,0,0,0
1810008I18Rik,0,1,0,0,0,0,0,0
1810009A15Rik,25,16,22,11,24,15,26,15
1810009J06Rik,20,0,20,0,13,0,4,0
1810010H24Rik,15,10,7,3,7,3,6,6
1810011H11Rik,14,3,37,4,16,3,29,7
1810011O10Rik,0,0,0,0,3,0,0,0
1810012K08Rik,1,0,0,0,0,0,0,2
1810012K16Rik,4,4,0,4,1,3,4,2
1810013L24Rik,1431,1558,1373,1353,1413,1446,1385,1553
1810014B01Rik,49,102,54,87,51,85,53,81
1810019D21Rik,0,1,1,0,1,0,0,0
1810019N24Rik,6,5,5,7,8,4,4,4
1810020O05Rik,0,2,0,1,0,1,0,1
