gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn
0610005C13Rik,0,0,0,0,1,1,1,2
0610007P14Rik,716,880,698,759,725,619,576,606
0610009B22Rik,78,129,88,71,85,68,66,65
0610009E02Rik,2,3,0,1,6,5,1,4
0610009L18Rik,35,34,22,22,31,26,24,25
0610009O20Rik,720,780,721,785,745,691,696,711
0610010F05Rik,133,112,129,108,150,111,116,113
0610010K14Rik,62,58,58,54,54,47,63,62
0610011F06Rik,636,724,612,620,524,422,377,404
0610030E20Rik,1866,1817,1832,1932,2136,1944,1955,2146
0610031O16Rik,0,0,0,1,3,1,1,1
0610037L13Rik,649,735,702,712,646,671,679,757
0610038B21Rik,46,29,36,30,43,24,31,29
0610039K10Rik,0,0,2,0,0,0,2,0
0610040B10Rik,33,19,17,12,25,11,12,11
0610040F04Rik,4,5,2,3,0,0,0,0
0610040J01Rik,0,0,0,0,0,0,0,0
0610043K17Rik,12,6,5,6,11,12,12,13
1010001B22Rik,3,4,3,1,0,1,1,4
1110001J03Rik,109,157,109,94,174,156,178,179
1110002E22Rik,4,1,1,1,0,0,0,0
1110002J07Rik,46,29,52,31,0,0,1,0
1110002L01Rik,353,412,332,371,431,348,298,377
1110002O04Rik,0,0,0,0,0,0,0,0
1110004E09Rik,244,288,181,209,311,291,265,298
1110004F10Rik,1411,1410,1301,1251,1426,1208,1194,1133
1110007C09Rik,313,344,329,307,447,312,380,363
1110008F13Rik,920,1062,963,935,978,922,910,940
1110008L16Rik,191,162,137,158,207,157,149,148
1110008P14Rik,399,517,426,423,392,315,364,346
1110012L19Rik,256,302,268,240,209,206,256,197
1110017D15Rik,0,0,0,2,1,0,1,0
1110019D14Rik,33,27,28,41,18,19,18,16
1110020A21Rik,11,8,8,12,26,27,28,22
1110025M09Rik,11,23,17,18,15,13,19,22
1110028F11Rik,15,6,10,14,0,0,1,0
1110032A03Rik,208,187,195,162,123,79,66,80
1110032F04Rik,146,135,139,109,302,217,218,156
1110034G24Rik,437,556,550,537,392,357,409,351
1110035H17Rik,7,8,4,4,11,14,13,14
1110036E04Rik,0,1,0,2,0,0,0,0
1110037F02Rik,4479,4001,4146,4137,3541,2928,2766,3086
1110038B12Rik,249,268,206,237,294,316,315,283
1110038F14Rik,571,682,521,591,533,460,491,528
1110046J04Rik,5,4,8,8,0,0,0,0
1110051M20Rik,438,375,368,346,126,64,76,74
1110059E24Rik,268,319,262,272,308,257,266,237
1110059G10Rik,327,343,282,316,296,258,234,238
1110065P20Rik,140,156,140,136,126,101,107,111
1190002F15Rik,103,116,128,117,27,38,28,28
1190002N15Rik,925,936,897,894,412,401,392,393
1190005I06Rik,5,0,3,1,0,0,1,0
1190007I07Rik,131,129,127,118,154,146,131,131
1200007C13Rik,1,1,3,3,0,0,0,0
1200014J11Rik,1400,1354,1317,1332,1877,1444,1548,1574
1300002E11Rik,549,466,440,501,566,475,490,551
1300017J02Rik,2,0,1,0,2,0,0,2
1500002C15Rik,65,58,46,55,18,22,10,13
1500002F19Rik,3,0,0,1,1,2,1,0
1500004A13Rik,471,362,390,372,25,19,31,23
1500009L16Rik,2,1,2,2,0,0,0,2
1500011B03Rik,284,328,312,305,363,274,321,326
1500011K16Rik,148,204,162,167,186,172,168,140
1500012F01Rik,451,467,421,411,843,909,944,822
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,43,69,37,70,106,89,92,88
1500015O10Rik,0,1,0,0,0,0,0,0
1500017E21Rik,0,0,0,0,0,1,0,0
1500026H17Rik,3,0,0,0,5,1,6,8
1500035N22Rik,0,0,0,1,0,0,0,0
1520401A03Rik,2,0,0,0,0,0,0,1
1600002D24Rik,0,0,0,0,0,0,0,0
1600002H07Rik,189,176,143,146,123,121,99,117
1600002K03Rik,116,162,126,118,170,160,156,152
1600010M07Rik,0,0,0,0,0,0,0,0
1600012H06Rik,691,770,678,749,637,652,649,699
1600012P17Rik,1,0,0,0,0,0,0,0
1600014C10Rik,1114,1461,1235,1268,1881,1611,1600,1632
1600017P15Rik,0,0,0,0,0,0,0,0
1600020E01Rik,267,284,297,306,360,386,424,459
1600029O15Rik,0,0,0,0,0,0,0,0
1700001C19Rik,0,1,0,2,0,0,1,0
1700001D01Rik,1,0,0,0,0,0,0,0
1700001G11Rik,8,20,13,9,7,5,1,3
1700001G17Rik,6,5,5,3,11,7,4,5
1700001J03Rik,6,6,5,5,5,4,1,2
1700001J11Rik,2,1,0,0,0,0,0,1
1700001L05Rik,14,11,15,12,11,7,6,7
1700001L19Rik,0,0,0,0,0,0,0,1
1700001O22Rik,74,58,47,46,4,6,6,7
1700001P01Rik,2,2,0,0,1,1,2,3
1700003E16Rik,0,1,0,0,0,0,0,0
1700003F12Rik,1,0,3,1,0,1,1,0
1700003G18Rik,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,1,0,0,0,0,0
